rank,college_name,early_careerr,mid_career
498 (tie),Indiana Institute Of Technology,"$43,900.00","$73,900.00"
498 (tie),Shepherd University,"$41,300.00","$73,900.00"
498 (tie),University of Mississippi,"$42,400.00","$73,900.00"
498 (tie),University of South Carolina - Main Campus,"$44,900.00","$73,900.00"
504 (tie),Baker University,"$41,100.00","$73,800.00"
504 (tie),"Bowling Green State University - Bowling Green, OH","$41,400.00","$73,800.00"
504 (tie),Holy Family University,"$40,800.00","$73,800.00"
507,Oklahoma Wesleyan University (OWU),"$41,000.00","$73,700.00"
508 (tie),California State University - Los Angeles (CSULA),"$42,200.00","$73,600.00"
508 (tie),University of Louisville,"$44,100.00","$73,600.00"
508 (tie),"York College - York, PA","$48,800.00","$73,600.00"
511,William Paterson University,"$41,200.00","$73,500.00"
512 (tie),Beloit College,"$38,200.00","$73,400.00"
512 (tie),University of South Dakota,"$40,800.00","$73,400.00"
512 (tie),University of St. Francis,"$43,500.00","$73,400.00"
515,University of Texas at San Antonio (UTSA),"$46,100.00","$73,300.00"
516,University of Louisiana (UL) at Lafayette,"$45,500.00","$73,200.00"
517 (tie),CUNY - John Jay College Criminal Justice,"$38,300.00","$73,100.00"
517 (tie),California State University - San Marcos (CSUSM),"$45,900.00","$73,100.00"
517 (tie),Campbell University,"$42,500.00","$73,100.00"
517 (tie),Keene State College,"$45,100.00","$73,100.00"
517 (tie),Molloy College,"$56,100.00","$73,100.00"
517 (tie),"Mount Saint Mary College - Newburgh, NY","$50,500.00","$73,100.00"
517 (tie),Saint Cloud State University,"$46,000.00","$73,100.00"
517 (tie),University of New Haven,"$46,200.00","$73,100.00"
517 (tie),University of Tampa,"$40,700.00","$73,100.00"
526 (tie),Ferris State University,"$47,700.00","$73,000.00"
526 (tie),Grand View University (GVU),"$36,700.00","$73,000.00"
526 (tie),Philadelphia University,"$45,100.00","$73,000.00"
526 (tie),SUNY - College at Old Westbury,"$39,800.00","$73,000.00"
526 (tie),Utica College,"$47,600.00","$73,000.00"
526 (tie),William Jewell College,"$44,400.00","$73,000.00"
532,Franklin Pierce University,"$40,200.00","$72,900.00"
533 (tie),Fitchburg State College,"$39,300.00","$72,800.00"
533 (tie),University of South Carolina - Upstate Campus,"$41,500.00","$72,800.00"
535 (tie),Frostburg State University,"$41,000.00","$72,700.00"
535 (tie),Gwynedd-Mercy University,"$45,600.00","$72,700.00"
535 (tie),University of La Verne,"$44,400.00","$72,700.00"
538 (tie),Central State University,"$39,700.00","$72,600.00"
538 (tie),Eastern New Mexico University - Main Campus,"$39,800.00","$72,600.00"
538 (tie),Elmhurst College,"$44,400.00","$72,600.00"
538 (tie),Lipscomb University,"$42,000.00","$72,600.00"
538 (tie),Shippensburg University of Pennsylvania,"$43,000.00","$72,600.00"
543 (tie),Indiana University-Purdue University - Indianapolis (IUPUI),"$44,500.00","$72,500.00"
543 (tie),"Marian University - Fond Du Lac, WI","$41,100.00","$72,500.00"
543 (tie),Olivet Nazarene University,"$45,300.00","$72,500.00"
543 (tie),Webster University,"$39,800.00","$72,500.00"
547 (tie),California State University - Bakersfield (CSUB),"$41,600.00","$72,400.00"
547 (tie),Elon University,"$45,900.00","$72,400.00"
547 (tie),Indiana State University,"$44,400.00","$72,400.00"
547 (tie),Muskingum University,"$35,300.00","$72,400.00"
547 (tie),Rowan University,"$47,100.00","$72,400.00"
547 (tie),SUNY - College at Plattsburgh,"$39,000.00","$72,400.00"
553 (tie),Northeastern Illinois University,"$40,400.00","$72,300.00"
553 (tie),Texas A&M University - Commerce Campus,"$42,100.00","$72,300.00"
555 (tie),The Richard Stockton College of New Jersey,"$41,700.00","$72,200.00"
555 (tie),University of Northern Iowa,"$42,900.00","$72,200.00"
555 (tie),West Texas A & M University,"$46,700.00","$72,200.00"
558 (tie),Baldwin-Wallace College,"$41,800.00","$72,100.00"
558 (tie),Eckerd College,"$43,400.00","$72,100.00"
558 (tie),Otterbein College,"$44,300.00","$72,100.00"
558 (tie),Radford University,"$41,400.00","$72,100.00"
562 (tie),Clarion University of Pennsylvania,"$37,300.00","$72,000.00"
562 (tie),University of Wisconsin (UW) - Stout Campus,"$47,600.00","$72,000.00"
564 (tie),Indiana University of Pennsylvania (IUP),"$42,000.00","$71,900.00"
564 (tie),"Loyola University - New Orleans, LA","$40,800.00","$71,900.00"
564 (tie),"Southwestern College - Winfield, KS","$42,300.00","$71,900.00"
564 (tie),Washington & Jefferson College,"$44,600.00","$71,900.00"
568 (tie),College of Mount St. Joseph,"$40,200.00","$71,800.00"
568 (tie),Jacksonville University,"$49,100.00","$71,800.00"
568 (tie),SUNY - College at Oneonta,"$42,100.00","$71,800.00"
568 (tie),Salem State University,"$41,800.00","$71,800.00"
568 (tie),University of Wisconsin (UWM) - Milwaukee,"$45,600.00","$71,800.00"
568 (tie),University of Wisconsin (UWW) - Whitewater,"$43,100.00","$71,800.00"
568 (tie),Weber State University,"$52,000.00","$71,800.00"
575 (tie),Benedictine University,"$45,500.00","$71,600.00"
575 (tie),Kean University,"$42,400.00","$71,600.00"
575 (tie),Minnesota State University - Moorhead Campus,"$41,100.00","$71,600.00"
575 (tie),Simmons College,"$50,200.00","$71,600.00"
575 (tie),Xavier University of Louisiana,"$35,000.00","$71,600.00"
575 (tie),Youngstown State University (YSU),"$44,300.00","$71,600.00"
581 (tie),Cleary University,"$44,800.00","$71,500.00"
581 (tie),Edgewood College,"$44,000.00","$71,500.00"
581 (tie),Oklahoma City University,"$47,300.00","$71,500.00"
581 (tie),University of Alabama - Birmingham Campus,"$45,300.00","$71,500.00"
585,California University of Pennsylvania (Cal U),"$40,400.00","$71,400.00"
586 (tie),American International College,"$52,400.00","$71,300.00"
586 (tie),DeSales University,"$45,600.00","$71,300.00"
586 (tie),Messiah College,"$46,000.00","$71,300.00"
586 (tie),North Georgia College and State University,"$39,500.00","$71,300.00"
590 (tie),Florida Atlantic University (FAU),"$45,100.00","$71,200.00"
590 (tie),Longwood University,"$39,700.00","$71,200.00"
590 (tie),"Robert Morris University (RMU) - Moon Township, PA","$44,600.00","$71,200.00"
593 (tie),Ball State University (BSU),"$39,800.00","$71,100.00"
593 (tie),"Emmanuel College - Boston, MA","$44,900.00","$71,100.00"
595 (tie),Dallas Baptist University,"$46,200.00","$71,000.00"
595 (tie),Massachusetts College of Art and Design,"$44,200.00","$71,000.00"
595 (tie),McNeese State University,"$44,600.00","$71,000.00"
595 (tie),Mount Mercy University,"$43,400.00","$71,000.00"
595 (tie),University of Maryland - Baltimore Campus,"$59,000.00","$71,000.00"
600 (tie),Belmont University,"$40,800.00","$70,900.00"
600 (tie),Brigham Young University (BYU) - Idaho Campus,"$49,200.00","$70,900.00"
600 (tie),Fort Lewis College,"$42,100.00","$70,900.00"
600 (tie),Harding University,"$42,200.00","$70,900.00"
600 (tie),University of Montana,"$40,000.00","$70,900.00"
600 (tie),Winona State University,"$43,700.00","$70,900.00"
606,University of West Georgia,"$43,900.00","$70,800.00"
607 (tie),Carthage College,"$44,000.00","$70,700.00"
607 (tie),Salisbury University,"$44,800.00","$70,700.00"
607 (tie),University of Central Florida (UCF),"$43,500.00","$70,700.00"
610 (tie),Florida Agricultural and Mechanical (A&M) University (FAMU),"$42,400.00","$70,600.00"
610 (tie),University of Mount Union,"$40,100.00","$70,600.00"
610 (tie),Western Illinois University,"$41,500.00","$70,600.00"
613 (tie),Nichols College,"$44,300.00","$70,500.00"
613 (tie),Northern Kentucky University (NKU),"$43,300.00","$70,500.00"
613 (tie),West Chester University,"$41,900.00","$70,500.00"
616 (tie),College for Creative Studies,"$47,900.00","$70,400.00"
616 (tie),Eastern Connecticut State University,"$44,200.00","$70,400.00"
616 (tie),Georgia State University,"$45,700.00","$70,400.00"
616 (tie),Nova Southeastern University,"$44,500.00","$70,400.00"
616 (tie),Wright State University - Main Campus,"$45,300.00","$70,400.00"
621 (tie),Rivier College,"$48,500.00","$70,300.00"
621 (tie),Saginaw Valley State University (SVSU),"$42,700.00","$70,300.00"
621 (tie),University of Mary Hardin-Baylor (UMHB),"$44,500.00","$70,300.00"
621 (tie),University of Missouri - St. Louis Campus,"$44,100.00","$70,300.00"
625 (tie),Idaho State University (ISU),"$45,200.00","$70,200.00"
625 (tie),SUNY - College at Oswego,"$38,900.00","$70,200.00"
625 (tie),Shawnee State University,"$43,700.00","$70,200.00"
625 (tie),Utah Valley University,"$44,600.00","$70,200.00"
629 (tie),Appalachian State University,"$41,300.00","$70,100.00"
629 (tie),Eastern Michigan University,"$41,800.00","$70,100.00"
631 (tie),"Bethel University - Saint Paul, MN","$44,400.00","$70,000.00"
631 (tie),Hiram College,"$40,000.00","$70,000.00"
631 (tie),Missouri State University (MSU),"$40,300.00","$70,000.00"
631 (tie),University of Baltimore,"$48,300.00","$70,000.00"
631 (tie),University of Texas at Tyler,"$47,600.00","$70,000.00"
636 (tie),Eastern Kentucky University,"$40,000.00","$69,900.00"
636 (tie),Husson University,"$42,200.00","$69,900.00"
636 (tie),Metropolitan State University,"$44,200.00","$69,900.00"
636 (tie),Metropolitan State University of Denver,"$44,300.00","$69,900.00"
636 (tie),Rollins College,"$44,500.00","$69,900.00"
636 (tie),"St. Joseph's College (SJC) - Brooklyn, NY","$36,800.00","$69,900.00"
642 (tie),East Carolina University (ECU),"$43,100.00","$69,800.00"
642 (tie),Sam Houston State University,"$42,600.00","$69,800.00"
642 (tie),"University of St. Thomas - Houston, TX","$44,900.00","$69,800.00"
642 (tie),Virginia Commonwealth University (VCU),"$44,600.00","$69,800.00"
646 (tie),California State University - Dominguez Hills (CSUDH),"$43,600.00","$69,700.00"
646 (tie),Florida Southern College,"$40,300.00","$69,700.00"
646 (tie),Franciscan University of Steubenville,"$45,500.00","$69,700.00"
646 (tie),Park University,"$43,400.00","$69,700.00"
650 (tie),Central Michigan University,"$41,800.00","$69,500.00"
650 (tie),University of Wisconsin (UW) - River Falls Campus,"$41,900.00","$69,500.00"
652 (tie),Angelo State University,"$43,800.00","$69,400.00"
652 (tie),Hood College,"$39,900.00","$69,400.00"
652 (tie),Tarleton State University (TSU),"$41,800.00","$69,400.00"
655 (tie),Austin Peay State University,"$39,200.00","$69,300.00"
655 (tie),Point Park University,"$39,200.00","$69,300.00"
657 (tie),Capital University,"$42,100.00","$69,200.00"
657 (tie),"Doane College - Lincoln, NE","$41,100.00","$69,200.00"
657 (tie),Rhode Island College,"$42,100.00","$69,200.00"
657 (tie),University of Central Missouri,"$42,300.00","$69,200.00"
657 (tie),University of Indianapolis,"$42,800.00","$69,200.00"
657 (tie),Winston-Salem State University,"$43,300.00","$69,200.00"
663 (tie),Berry College,"$37,200.00","$69,100.00"
663 (tie),Eastern Washington University,"$47,100.00","$69,100.00"
663 (tie),School of the Art Institute of Chicago,"$39,700.00","$69,100.00"
666,Boise State University (BSU),"$42,200.00","$69,000.00"
667 (tie),High Point University,"$42,400.00","$68,900.00"
667 (tie),Langston University,"$40,500.00","$68,900.00"
667 (tie),University of North Florida (UNF),"$42,600.00","$68,900.00"
670 (tie),John Brown University,"$38,900.00","$68,800.00"
670 (tie),Saint Mary's University of Minnesota,"$46,100.00","$68,800.00"
672,Nicholls State University,"$37,900.00","$68,700.00"
673 (tie),Northwest Nazarene University,"$36,500.00","$68,600.00"
673 (tie),Nyack College,"$36,600.00","$68,600.00"
673 (tie),University of Illinois at Springfield,"$43,000.00","$68,600.00"
676 (tie),Indiana University-Purdue University - Fort Wayne (IPFW),"$41,800.00","$68,500.00"
676 (tie),Troy University,"$38,600.00","$68,500.00"
678 (tie),"Bellevue University - Bellevue, NE","$44,800.00","$68,400.00"
678 (tie),Savannah College of Art and Design (SCAD),"$41,000.00","$68,400.00"
678 (tie),Slippery Rock University,"$40,200.00","$68,400.00"
678 (tie),Texas Wesleyan University,"$34,900.00","$68,400.00"
682 (tie),Aurora University,"$41,700.00","$68,300.00"
682 (tie),Tuskegee University,"$53,300.00","$68,300.00"
682 (tie),University of Tennessee at Chattanooga (UTC),"$40,900.00","$68,300.00"
682 (tie),University of Wisconsin (UWP) - Parkside,"$43,000.00","$68,300.00"
686,Georgia Southern University,"$45,500.00","$68,200.00"
687 (tie),George Fox University,"$49,700.00","$68,100.00"
687 (tie),Immaculata University,"$46,300.00","$68,100.00"
687 (tie),Oral Roberts University (ORU),"$40,100.00","$68,100.00"
687 (tie),SUNY - Empire State College,"$41,600.00","$68,100.00"
691 (tie),Carlow University,"$37,700.00","$68,000.00"
691 (tie),Roger Williams University,"$49,600.00","$68,000.00"
693 (tie),Belmont Abbey College,"$43,500.00","$67,900.00"
693 (tie),Saint Leo University,"$39,400.00","$67,900.00"
693 (tie),"University of the Arts (UArts) - Philadelphia, PA","$42,400.00","$67,900.00"
696,Western State College of Colorado,"$45,800.00","$67,800.00"
697 (tie),"Carroll University - Waukesha, WI","$39,000.00","$67,700.00"
697 (tie),Southern New Hampshire University,"$44,900.00","$67,700.00"
699,University of North Carolina at Wilmington (UNCW),"$39,800.00","$67,600.00"
700 (tie),"East Central University - Ada, OK","$40,200.00","$67,500.00"
700 (tie),Pennsylvania College of Technology,"$50,200.00","$67,500.00"
700 (tie),St. Ambrose University,"$43,200.00","$67,500.00"
703 (tie),Colorado Christian University,"$44,400.00","$67,400.00"
703 (tie),Roosevelt University,"$40,800.00","$67,400.00"
703 (tie),Vanguard University of Southern California,"$42,000.00","$67,400.00"
706 (tie),Christopher Newport University,"$44,500.00","$67,300.00"
706 (tie),SUNY - New Paltz,"$40,400.00","$67,300.00"
706 (tie),Southern Utah University,"$40,400.00","$67,300.00"
709 (tie),Avila University,"$39,700.00","$67,200.00"
709 (tie),Marshall University,"$40,400.00","$67,200.00"
709 (tie),"Simpson College - Indianola, IA","$42,900.00","$67,200.00"
712 (tie),Jacksonville State University (JSU),"$40,300.00","$67,100.00"
712 (tie),Northwest Missouri State University,"$42,200.00","$67,100.00"
712 (tie),Southern Illinois University (SIU) - Edwardsville Campus,"$48,300.00","$67,100.00"
712 (tie),University of Memphis (U of M),"$44,500.00","$67,100.00"
716,Southeastern Oklahoma State University,"$42,400.00","$67,000.00"
717 (tie),Barry University,"$46,500.00","$66,900.00"
717 (tie),Millersville University of Pennsylvania,"$41,500.00","$66,900.00"
717 (tie),Stetson University,"$37,500.00","$66,900.00"
717 (tie),Wayland Baptist University,"$46,000.00","$66,900.00"
721 (tie),Alabama A&M University (AAMU),"$45,700.00","$66,800.00"
721 (tie),Northwestern State University,"$39,000.00","$66,800.00"
721 (tie),Western Kentucky University,"$41,200.00","$66,800.00"
724 (tie),Emporia State University,"$38,700.00","$66,700.00"
724 (tie),"Manchester College - North Manchester, IN","$47,600.00","$66,700.00"
724 (tie),"Saint Mary's College - Notre Dame, IN","$47,700.00","$66,700.00"
727 (tie),New Jersey City University,"$44,000.00","$66,600.00"
727 (tie),Southern Nazarene University,"$41,000.00","$66,600.00"
727 (tie),"Union University - Jackson, TN","$42,200.00","$66,600.00"
727 (tie),University of Nebraska Medical Center,"$50,600.00","$66,600.00"
731 (tie),Brenau University,"$43,100.00","$66,400.00"
731 (tie),Walsh College of Accountancy and Business Administration,"$48,400.00","$66,400.00"
731 (tie),Western Oregon University,"$38,600.00","$66,400.00"
734,Waynesburg University,"$44,500.00","$66,300.00"
735 (tie),Kent State University (KSU),"$41,000.00","$66,200.00"
735 (tie),St Petersburg College,"$44,100.00","$66,200.00"
735 (tie),University of Arkansas - Little Rock Campus,"$43,800.00","$66,200.00"
735 (tie),University of Central Oklahoma (UCO),"$41,600.00","$66,200.00"
739,Murray State University,"$40,200.00","$66,100.00"
740,Augusta State University,"$38,200.00","$66,000.00"
741 (tie),Athens State University,"$40,500.00","$65,900.00"
741 (tie),Texas Southern University,"$43,300.00","$65,900.00"
741 (tie),University of Wisconsin (UW) - Stevens Point Campus,"$41,700.00","$65,900.00"
744 (tie),Fort Hays State University (FHSU),"$40,900.00","$65,800.00"
744 (tie),Middle Tennessee State University (MTSU),"$42,100.00","$65,800.00"
746 (tie),Clayton State University,"$42,600.00","$65,700.00"
746 (tie),Evergreen State College,"$40,400.00","$65,700.00"
746 (tie),University of South Alabama,"$45,000.00","$65,700.00"
749 (tie),Clark Atlanta University (CAU),"$41,200.00","$65,600.00"
749 (tie),Mercy College,"$39,100.00","$65,600.00"
749 (tie),Trevecca Nazarene University,"$44,800.00","$65,600.00"
752 (tie),Franklin University,"$44,700.00","$65,400.00"
752 (tie),Governors State University,"$40,800.00","$65,400.00"
752 (tie),Mesa State College,"$42,600.00","$65,400.00"
755,Delaware Valley College,"$35,500.00","$65,100.00"
756 (tie),Andrews University,"$43,100.00","$65,000.00"
756 (tie),Bowie State University (BSU),"$46,000.00","$65,000.00"
756 (tie),University of Nebraska at Kearney,"$39,100.00","$65,000.00"
759 (tie),Charleston Southern University (CSU),"$35,200.00","$64,900.00"
759 (tie),Keuka College,"$37,400.00","$64,900.00"
759 (tie),Lock Haven University,"$37,300.00","$64,900.00"
759 (tie),Luther College,"$41,300.00","$64,900.00"
763 (tie),Grand Valley State University,"$41,500.00","$64,800.00"
763 (tie),West Virginia State University,"$32,200.00","$64,800.00"
765 (tie),Cedarville University,"$46,900.00","$64,700.00"
765 (tie),College of the Ozarks,"$37,500.00","$64,700.00"
765 (tie),"Columbia College - Columbia, MO","$39,500.00","$64,700.00"
765 (tie),East Stroudsburg University (ESU),"$39,500.00","$64,700.00"
765 (tie),University of West Florida (UWF),"$39,500.00","$64,700.00"
770 (tie),Moore College of Art and Design,"$36,100.00","$64,600.00"
770 (tie),Quincy University,"$40,800.00","$64,600.00"
770 (tie),University of Arkansas for Medical Sciences (UAMS),"$46,200.00","$64,600.00"
773 (tie),Granite State College,"$41,000.00","$64,500.00"
773 (tie),SUNY - College at Cortland,"$41,600.00","$64,500.00"
775 (tie),Mercer University,"$47,900.00","$64,400.00"
775 (tie),Salve Regina University,"$46,400.00","$64,400.00"
775 (tie),Valdosta State University (VSU),"$37,700.00","$64,400.00"
778 (tie),Armstrong Atlantic State University (AASU),"$44,100.00","$64,300.00"
778 (tie),Eastern Oregon University,"$36,000.00","$64,300.00"
778 (tie),Francis Marion University,"$37,500.00","$64,300.00"
778 (tie),"Johnson & Wales University (JWU) - Providence, RI","$43,500.00","$64,300.00"
782 (tie),Alverno College,"$41,900.00","$64,200.00"
782 (tie),Georgia College & State University (GCSU),"$41,800.00","$64,200.00"
784,University of Southern Indiana,"$39,300.00","$64,100.00"
785 (tie),East Tennessee State University (ETSU),"$40,100.00","$64,000.00"
785 (tie),Geneva College,"$43,700.00","$64,000.00"
787 (tie),"Mount Mary College - Milwaukee, WI","$38,900.00","$63,800.00"
787 (tie),Plymouth State University,"$41,900.00","$63,800.00"
787 (tie),The College of Saint Scholastica,"$49,500.00","$63,800.00"
787 (tie),University of Wisconsin (UW) - Oshkosh Campus,"$42,900.00","$63,800.00"
791 (tie),Indiana Wesleyan University (IWU),"$44,000.00","$63,700.00"
791 (tie),The Sage Colleges,"$38,600.00","$63,700.00"
793 (tie),Cedar Crest College,"$43,300.00","$63,600.00"
793 (tie),Centenary College,"$38,100.00","$63,600.00"
793 (tie),Southwest Minnesota State University (SMSU),"$39,000.00","$63,600.00"
793 (tie),Ursuline College,"$42,500.00","$63,600.00"
793 (tie),Westfield State University,"$43,800.00","$63,600.00"
798 (tie),Roberts Wesleyan College,"$44,400.00","$63,500.00"
798 (tie),Southern Oregon University,"$40,700.00","$63,500.00"
798 (tie),University of Southern Maine (USM),"$39,400.00","$63,500.00"
801 (tie),Colorado State University (CSU) - Pueblo Campus,"$44,400.00","$63,400.00"
801 (tie),Lander University,"$38,800.00","$63,400.00"
803 (tie),Arkansas Tech University,"$41,300.00","$63,300.00"
803 (tie),Bridgewater State College,"$41,700.00","$63,300.00"
803 (tie),"Clarke College - Dubuque, IA","$39,500.00","$63,300.00"
803 (tie),Missouri Western State University,"$40,100.00","$63,300.00"
807 (tie),"Columbia College - Chicago, IL","$41,900.00","$63,200.00"
807 (tie),Mount Olive College,"$36,400.00","$63,200.00"
807 (tie),Ripon College,"$42,400.00","$63,200.00"
810 (tie),"Baker College - Flint, MI","$44,900.00","$63,100.00"
810 (tie),Friends University,"$41,000.00","$63,100.00"
810 (tie),Southern Connecticut State University (SCSU),"$44,300.00","$63,100.00"
810 (tie),Viterbo University,"$39,200.00","$63,100.00"
810 (tie),Whitworth University,"$42,300.00","$63,100.00"
815 (tie),Georgia Southwestern State University,"$39,100.00","$63,000.00"
815 (tie),Missouri Southern State University (MSSU),"$41,900.00","$63,000.00"
817 (tie),Madonna University,"$42,600.00","$62,900.00"
817 (tie),Midamerica Nazarene University,"$42,200.00","$62,900.00"
819 (tie),Marymount Manhattan College,"$46,500.00","$62,800.00"
819 (tie),Washburn University,"$43,600.00","$62,800.00"
821,SUNY - College at Buffalo,"$38,300.00","$62,600.00"
822 (tie),Malone University,"$42,000.00","$62,500.00"
822 (tie),Morgan State University,"$46,500.00","$62,500.00"
824 (tie),Ashland University,"$40,900.00","$62,400.00"
824 (tie),Millikin University,"$42,500.00","$62,400.00"
824 (tie),University of The Incarnate Word,"$45,000.00","$62,400.00"
827 (tie),Auburn University - Montgomery,"$42,600.00","$62,300.00"
827 (tie),Coppin State University (CSU),"$37,200.00","$62,300.00"
829 (tie),California Baptist University,"$42,000.00","$62,200.00"
829 (tie),Coastal Carolina University,"$39,500.00","$62,200.00"
829 (tie),Indiana University (IU) - Kokomo,"$39,600.00","$62,200.00"
829 (tie),North Carolina Wesleyan College (NCWC),"$43,500.00","$62,200.00"
829 (tie),Spring Arbor University,"$35,700.00","$62,200.00"
829 (tie),University of Wisconsin (UW) - Green Bay Campus,"$38,200.00","$62,200.00"
835,SUNY - College at Brockport,"$43,500.00","$62,100.00"
836 (tie),College of Charleston,"$44,100.00","$62,000.00"
836 (tie),"Concordia College - Moorhead, MN","$40,400.00","$62,000.00"
836 (tie),"Concordia University - Mequon, WI","$43,300.00","$62,000.00"
836 (tie),Morehead State University (Kentucky),"$38,500.00","$62,000.00"
836 (tie),Mount Holyoke College,"$46,900.00","$62,000.00"
841,University of Southern Mississippi (USM),"$39,700.00","$61,900.00"
842,West Liberty University,"$38,800.00","$61,800.00"
843 (tie),Evangel University,"$35,800.00","$61,700.00"
843 (tie),Northeastern State University,"$41,100.00","$61,700.00"
845 (tie),CUNY - Lehman College,"$40,900.00","$61,600.00"
845 (tie),Northern Michigan University,"$38,900.00","$61,600.00"
847 (tie),Mount Vernon Nazarene University (MVNU),"$37,700.00","$61,500.00"
847 (tie),University of Central Arkansas,"$39,800.00","$61,500.00"
849 (tie),Henderson State University,"$39,900.00","$61,400.00"
849 (tie),Houghton College,"$36,600.00","$61,400.00"
849 (tie),"Marian University - Indianapolis, IN","$45,000.00","$61,400.00"
852 (tie),Columbus State University,"$40,500.00","$61,200.00"
852 (tie),North Park University,"$38,900.00","$61,200.00"
852 (tie),Southeastern Louisiana University,"$39,800.00","$61,200.00"
855 (tie),Southeast Missouri State University,"$37,700.00","$61,100.00"
855 (tie),Tennessee State University,"$43,600.00","$61,100.00"
855 (tie),Western Carolina University,"$39,200.00","$61,100.00"
858 (tie),Nebraska Wesleyan University (NWU),"$42,300.00","$61,000.00"
858 (tie),Our Lady of the Lake University (OLLU),"$39,800.00","$61,000.00"
860,Chadron State College,"$35,500.00","$60,800.00"
861 (tie),Buena Vista University,"$35,800.00","$60,700.00"
861 (tie),Wingate University,"$34,900.00","$60,700.00"
863 (tie),Cardinal Stritch University,"$49,200.00","$60,500.00"
863 (tie),Marywood University,"$38,200.00","$60,500.00"
863 (tie),University of Arkansas - Pine Bluff Campus,"$39,800.00","$60,500.00"
863 (tie),University of North Alabama (UNA),"$36,600.00","$60,500.00"
863 (tie),University of South Carolina - Aiken Campus,"$37,600.00","$60,500.00"
863 (tie),University of Texas - Pan American (UTPA),"$42,100.00","$60,500.00"
869 (tie),Lindenwood University,"$41,000.00","$60,400.00"
869 (tie),University of North Carolina at Greensboro (UNCG),"$40,100.00","$60,400.00"
871 (tie),Kutztown University of Pennsylvania,"$38,400.00","$60,300.00"
871 (tie),Upper Iowa University,"$40,400.00","$60,300.00"
873 (tie),Bridgewater College,"$36,000.00","$60,000.00"
873 (tie),Chicago State University (CSU),"$39,400.00","$60,000.00"
875 (tie),Barton College,"$37,000.00","$59,900.00"
875 (tie),Massachusetts College of Liberal Arts (MCLA),"$38,200.00","$59,900.00"
877,Montana State University - Billings Campus,"$39,900.00","$59,600.00"
878 (tie),Carson Newman College,"$45,500.00","$59,500.00"
878 (tie),Fairmont State University,"$39,200.00","$59,500.00"
878 (tie),"Lakeland College - Plymouth, WI","$43,600.00","$59,500.00"
878 (tie),Siena Heights University,"$40,000.00","$59,500.00"
878 (tie),University of Michigan - Flint Campus,"$42,900.00","$59,500.00"
883 (tie),Bemidji State University (BSU),"$41,100.00","$59,400.00"
883 (tie),Guilford College,"$36,500.00","$59,400.00"
883 (tie),Wilmington University,"$40,300.00","$59,400.00"
886,University of North Carolina at Asheville (UNCA),"$36,300.00","$59,300.00"
887 (tie),Hodges University,"$40,300.00","$59,200.00"
887 (tie),Indiana University (IU) - South Bend,"$36,700.00","$59,200.00"
887 (tie),Maryville University of Saint Louis,"$41,800.00","$59,200.00"
890 (tie),Mississippi College,"$39,600.00","$59,100.00"
890 (tie),Winthrop University,"$37,600.00","$59,100.00"
892,Mansfield University of Pennsylvania,"$39,800.00","$59,000.00"
893,Southeastern University,"$39,900.00","$58,900.00"
894,William Woods University,"$37,800.00","$58,800.00"
895 (tie),Bluffton University,"$37,400.00","$58,700.00"
895 (tie),Virginia State University (VSU),"$39,100.00","$58,700.00"
897,"Seton Hill University - Greensburg, PA","$41,500.00","$58,500.00"
898 (tie),Maryland Institute College of Art,"$40,700.00","$58,300.00"
898 (tie),Savannah State University (SSU),"$37,300.00","$58,300.00"
900,University of North Carolina at Pembroke (UNCP),"$37,000.00","$58,200.00"
901,The University of Tennessee at Martin (UT Martin),"$40,100.00","$58,100.00"
902,Meredith College,"$36,200.00","$58,000.00"
903,Alabama State University (ASU),"$34,800.00","$57,800.00"
904,College of New Rochelle,"$39,500.00","$57,700.00"
905,"Wilmington College - Wilmington, OH","$37,500.00","$57,600.00"
906,Southern Adventist University,"$43,600.00","$57,500.00"
907 (tie),Minot State University,"$42,300.00","$57,400.00"
907 (tie),"Robert Morris University (RMU) - Chicago, IL","$42,000.00","$57,400.00"
909 (tie),Liberty University,"$39,400.00","$57,200.00"
909 (tie),Lourdes College,"$41,600.00","$57,200.00"
911 (tie),Fayetteville State University,"$33,200.00","$57,100.00"
911 (tie),Florida Gulf Coast University,"$42,700.00","$57,100.00"
913,Morningside College,"$39,100.00","$57,000.00"
914,Delta State University,"$39,600.00","$56,800.00"
915,Gardner-Webb University,"$38,200.00","$56,700.00"
916,SUNY - Fredonia,"$39,100.00","$56,600.00"
917,University of Sioux Falls (USF),"$42,600.00","$56,500.00"
918 (tie),Faulkner University,"$39,100.00","$56,400.00"
918 (tie),University of Maine at Augusta (UMA),"$36,900.00","$56,400.00"
920 (tie),Davenport University,"$43,000.00","$56,200.00"
920 (tie),Norfolk State University,"$41,900.00","$56,200.00"
922,"Wayne State College - Wayne, NE","$40,300.00","$55,900.00"
923 (tie),Limestone College,"$37,300.00","$55,800.00"
923 (tie),Northern State University,"$39,500.00","$55,800.00"
925,Transylvania University,"$39,500.00","$55,700.00"
926 (tie),Johnson State College,"$33,400.00","$55,500.00"
926 (tie),Nazareth College of Rochester,"$38,000.00","$55,500.00"
926 (tie),Ohio Dominican University,"$42,200.00","$55,500.00"
929 (tie),Averett University,"$41,300.00","$55,400.00"
929 (tie),Jackson State University (JSU),"$40,000.00","$55,400.00"
929 (tie),"King College - Bristol, TN","$35,300.00","$55,400.00"
