rank,college_name,early_careerr,mid_career
125,Rutgers University - New Brunswick Campus,"$51,300.00","$91,300.00"
126,Seattle Pacific University (SPU),"$47,200.00","$91,200.00"
127,Wagner College,"$48,300.00","$91,100.00"
128,John Carroll University,"$44,600.00","$91,000.00"
129,Grove City College,"$47,800.00","$90,900.00"
130,Fairfield University,"$56,300.00","$90,800.00"
131 (tie),California State University - East Bay (CSUEB),"$49,700.00","$90,600.00"
131 (tie),"Seton Hall University - South Orange, NJ","$50,800.00","$90,600.00"
133,College of the Holy Cross,"$49,800.00","$90,500.00"
134,West Virginia University Institute of Technology (WVU Tech),"$53,300.00","$90,300.00"
135,University of Dayton,"$52,700.00","$90,200.00"
136 (tie),The College of William and Mary,"$49,100.00","$89,900.00"
136 (tie),University of Delaware,"$51,500.00","$89,900.00"
138 (tie),Stonehill College,"$47,400.00","$89,800.00"
138 (tie),"University of Maryland, Baltimore County (UMBC)","$51,200.00","$89,800.00"
140 (tie),Boston University,"$51,800.00","$89,700.00"
140 (tie),University of Houston Clear Lake (UHCL),"$46,600.00","$89,700.00"
140 (tie),University of Vermont (UVM),"$45,800.00","$89,700.00"
143 (tie),Rochester Institute of Technology (RIT),"$57,400.00","$89,600.00"
143 (tie),University of the Pacific,"$50,900.00","$89,600.00"
145,Colby College,"$49,300.00","$89,500.00"
146 (tie),Seattle University,"$52,000.00","$89,400.00"
146 (tie),Texas Tech University,"$51,600.00","$89,400.00"
148,Marquette University,"$52,200.00","$89,300.00"
149 (tie),Bradley University,"$50,600.00","$89,200.00"
149 (tie),University of Utah,"$49,400.00","$89,200.00"
151 (tie),Northeastern University,"$57,800.00","$89,100.00"
151 (tie),Southern Methodist University (SMU),"$53,900.00","$89,100.00"
151 (tie),Washington State University (WSU),"$50,400.00","$89,100.00"
154,University of Alaska - Fairbanks Campus,"$54,100.00","$88,900.00"
155 (tie),Furman University,"$45,100.00","$88,800.00"
155 (tie),Ithaca College,"$43,600.00","$88,800.00"
157 (tie),Kenyon College,"$45,700.00","$88,700.00"
157 (tie),University of Connecticut (UConn) - Main Campus,"$53,300.00","$88,700.00"
159 (tie),California State Polytechnic University - Pomona,"$51,000.00","$88,600.00"
159 (tie),Montana Tech of The University of Montana,"$58,300.00","$88,600.00"
161 (tie),Pepperdine University,"$48,600.00","$88,400.00"
161 (tie),University of Hartford,"$49,100.00","$88,400.00"
163 (tie),George Mason University,"$52,100.00","$88,300.00"
163 (tie),"La Salle University - Philadelphia, PA","$48,200.00","$88,300.00"
163 (tie),North Carolina State University (NCSU),"$52,400.00","$88,300.00"
166,George Washington University (GWU),"$49,500.00","$88,200.00"
167 (tie),California State University - Stanislaus,"$45,300.00","$88,100.00"
167 (tie),University of California - Riverside (UCR),"$46,400.00","$88,100.00"
169 (tie),Auburn University,"$48,700.00","$88,000.00"
169 (tie),Emory University,"$53,800.00","$88,000.00"
169 (tie),Louisiana Tech University,"$46,900.00","$88,000.00"
172 (tie),Pennsylvania State University (Penn State) - Main Campus,"$54,300.00","$87,800.00"
172 (tie),Tulane University,"$45,600.00","$87,800.00"
172 (tie),Ursinus College,"$44,500.00","$87,800.00"
175,New Mexico Institute of Mining and Technology (New Mexico Tech),"$62,400.00","$87,700.00"
176 (tie),CUNY - College of Staten Island,"$45,300.00","$87,600.00"
176 (tie),Oregon State University (OSU) - Main Campus,"$50,300.00","$87,600.00"
176 (tie),Rutgers University - Camden Campus,"$45,000.00","$87,600.00"
176 (tie),Southern Polytechnic State University,"$53,700.00","$87,600.00"
176 (tie),University of Rhode Island (URI),"$48,900.00","$87,600.00"
181 (tie),California College of the Arts,"$48,600.00","$87,500.00"
181 (tie),"Clark University - Worcester, MA","$42,800.00","$87,500.00"
181 (tie),Rhodes College,"$44,200.00","$87,500.00"
181 (tie),University of Washington - Tacoma Campus,"$50,300.00","$87,500.00"
185 (tie),Pratt Institute,"$48,300.00","$87,400.00"
185 (tie),"St. John's University - Queens, NY","$48,500.00","$87,400.00"
187,Clemson University,"$54,100.00","$87,300.00"
188,"Wofford College - Spartanburg, SC","$44,900.00","$87,200.00"
189 (tie),Coleman University,"$57,100.00","$87,100.00"
189 (tie),Norwich University,"$46,800.00","$87,100.00"
189 (tie),The Citadel - Military College of South Carolina *,"$53,400.00","$87,100.00"
