Rank,CollegeTYpe,College Type,Early Career,Mid Career
[object Object],Private School,,,
,,,,
389 (tie),Western Michigan University (WMU),"State School, Research University, For Sports Fans","$45,700.00","$77,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
392 (tie),Gannon University,"Private School, Religious","$42,900.00","$77,000.00"
[object Object],"Private School, Religious",,,
,,,,
392 (tie),"Northwood University - Midland, MI","Private School, Business School","$43,300.00","$77,000.00"
[object Object],"Private School, Business School",,,
,,,,
392 (tie),University of South Florida - Main Campus,"State School, Research University, For Sports Fans","$45,000.00","$77,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
395 (tie),The College of Wooster,"Private School, Liberal Arts School","$38,600.00","$76,900.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
395 (tie),University of Hawaii at Manoa,"State School, Research University, For Sports Fans","$44,500.00","$76,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
395 (tie),University of Oregon,"State School, Research University, For Sports Fans","$44,100.00","$76,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
398 (tie),"Assumption College - Worcester, MA","Private School, Religious","$51,200.00","$76,800.00"
[object Object],"Private School, Religious",,,
,,,,
398 (tie),Curry College,Private School,"$49,800.00","$76,800.00"
[object Object],Private School,,,
,,,,
398 (tie),Oglethorpe University,"Private School, Liberal Arts School","$41,300.00","$76,800.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
398 (tie),Texas A&M University - Kingsville Campus,State School,"$48,700.00","$76,800.00"
[object Object],State School,,,
,,,,
402 (tie),"Augustana College - Sioux Falls, SD","Private School, Religious","$41,500.00","$76,700.00"
[object Object],"Private School, Religious",,,
,,,,
402 (tie),Hawaii Pacific University,Private School,"$43,800.00","$76,700.00"
[object Object],Private School,,,
,,,,
404 (tie),Rider University,"Private School, For Sports Fans","$46,100.00","$76,600.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
404 (tie),University of Mary Washington,State School,"$46,200.00","$76,600.00"
[object Object],State School,,,
,,,,
404 (tie),University of North Texas (UNT),"State School, Research University, For Sports Fans","$45,900.00","$76,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
407 (tie),Central Washington University (CWU),State School,"$45,800.00","$76,500.00"
[object Object],State School,,,
,,,,
407 (tie),University of Toledo,"State School, Research University, For Sports Fans","$49,200.00","$76,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
409 (tie),Cabrini College,"Private School, Religious","$39,700.00","$76,400.00"
[object Object],"Private School, Religious",,,
,,,,
409 (tie),Niagara University,"Private School, Religious, For Sports Fans","$40,000.00","$76,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
409 (tie),Northern Illinois University (NIU),"State School, Research University, For Sports Fans","$48,600.00","$76,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
409 (tie),Saint Francis University,"Private School, Religious, For Sports Fans","$44,300.00","$76,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
413 (tie),City University of Seattle,"Private School, Business School","$45,100.00","$76,300.00"
[object Object],"Private School, Business School",,,
,,,,
413 (tie),Florida State University (FSU),"State School, Research University, Party School, For Sports Fans","$43,100.00","$76,300.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
413 (tie),Wilkes University,Private School,"$45,300.00","$76,300.00"
[object Object],Private School,,,
,,,,
416 (tie),Illinois State University,"State School, For Sports Fans","$43,700.00","$76,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
416 (tie),University of Arkansas - Main Campus,"State School, Research University, For Sports Fans","$48,600.00","$76,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
416 (tie),University of Houston Downtown (UHD),State School,"$47,000.00","$76,200.00"
[object Object],State School,,,
,,,,
419 (tie),Stevenson University,Private School,"$44,300.00","$76,100.00"
[object Object],Private School,,,
,,,,
419 (tie),Thomas More College,"Private School, Religious","$38,800.00","$76,100.00"
[object Object],"Private School, Religious",,,
,,,,
419 (tie),"Westminster College - Salt Lake City, UT",Private School,"$43,900.00","$76,100.00"
[object Object],Private School,,,
,,,,
419 (tie),Woodbury University,Private School,"$45,200.00","$76,100.00"
[object Object],Private School,,,
,,,,
423 (tie),Point Loma Nazarene University,"Private School, Religious","$44,400.00","$76,000.00"
[object Object],"Private School, Religious",,,
,,,,
423 (tie),University of Nevada - Las Vegas (UNLV),"State School, Research University, For Sports Fans","$44,400.00","$76,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
425 (tie),Drew University,"Private School, Liberal Arts School, Religious","$47,000.00","$75,900.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
425 (tie),Illinois Wesleyan University (IWU),"Private School, Liberal Arts School","$49,500.00","$75,900.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
425 (tie),Manhattanville College,Private School,"$46,500.00","$75,900.00"
[object Object],Private School,,,
,,,,
428 (tie),Chapman University,"Private School, Religious","$47,200.00","$75,700.00"
[object Object],"Private School, Religious",,,
,,,,
428 (tie),Coe College,"Private School, Liberal Arts School, Religious","$44,100.00","$75,700.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
428 (tie),SUNY - College at Potsdam,State School,"$35,600.00","$75,700.00"
[object Object],State School,,,
,,,,
428 (tie),South Carolina State University,"State School, For Sports Fans","$37,500.00","$75,700.00"
[object Object],"State School, For Sports Fans",,,
,,,,
428 (tie),University of North Carolina at Charlotte (UNCC),"State School, For Sports Fans","$48,000.00","$75,700.00"
[object Object],"State School, For Sports Fans",,,
,,,,
428 (tie),University of Wisconsin (UWEC) - Eau Claire,State School,"$46,000.00","$75,700.00"
[object Object],State School,,,
,,,,
434 (tie),Eastern University,"Private School, Religious","$39,700.00","$75,600.00"
[object Object],"Private School, Religious",,,
,,,,
434 (tie),Misericordia University,"Private School, Religious","$43,000.00","$75,600.00"
[object Object],"Private School, Religious",,,
,,,,
434 (tie),South Dakota State University (SDSU),"State School, Research University, For Sports Fans","$43,500.00","$75,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
434 (tie),"Wayne State University - Detroit, MI","State School, Research University","$46,500.00","$75,600.00"
[object Object],"State School, Research University",,,
,,,,
438 (tie),Knox College,"Private School, Liberal Arts School","$43,000.00","$75,500.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
438 (tie),Texas Woman's University,State School,"$44,100.00","$75,500.00"
[object Object],State School,,,
,,,,
438 (tie),University of Missouri - Kansas City (UMKC),"State School, Research University, For Sports Fans","$45,800.00","$75,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
441 (tie),Abilene Christian University,"Private School, Religious, For Sports Fans","$42,000.00","$75,400.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
441 (tie),Azusa Pacific University,"Private School, Religious","$41,400.00","$75,400.00"
[object Object],"Private School, Religious",,,
,,,,
441 (tie),St. Lawrence University,"Private School, Liberal Arts School","$51,000.00","$75,400.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
444,California State University - Fresno (Fresno State),"State School, For Sports Fans","$45,100.00","$75,300.00"
[object Object],"State School, For Sports Fans",,,
,,,,
445 (tie),Lewis University,"Private School, Religious","$44,700.00","$75,200.00"
[object Object],"Private School, Religious",,,
,,,,
445 (tie),Northern Arizona University (NAU),"State School, Research University, For Sports Fans","$44,400.00","$75,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
445 (tie),Pittsburg State University,State School,"$42,000.00","$75,200.00"
[object Object],State School,,,
,,,,
445 (tie),Purdue University - Calumet Campus,State School,"$43,200.00","$75,200.00"
[object Object],State School,,,
,,,,
445 (tie),University of Pittsburgh - Johnstown Campus,State School,"$45,500.00","$75,200.00"
[object Object],State School,,,
,,,,
450 (tie),Hope College,"Private School, Liberal Arts School, Religious","$41,400.00","$75,100.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
450 (tie),Walsh University - Ohio,"Private School, Religious","$40,200.00","$75,100.00"
[object Object],"Private School, Religious",,,
,,,,
452 (tie),Augsburg College,"Private School, Religious","$45,200.00","$75,000.00"
[object Object],"Private School, Religious",,,
,,,,
452 (tie),Texas A&M University - Corpus Christi Campus,"State School, For Sports Fans","$42,700.00","$75,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
454 (tie),Arkansas State University (ASU),"State School, For Sports Fans","$41,100.00","$74,900.00"
[object Object],"State School, For Sports Fans",,,
,,,,
454 (tie),Bloomfield College,"Private School, Liberal Arts School, Religious","$40,800.00","$74,900.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
454 (tie),California State University - San Bernardino (CSUSB),State School,"$40,700.00","$74,900.00"
[object Object],State School,,,
,,,,
454 (tie),Lynchburg College,"Private School, Religious","$41,900.00","$74,900.00"
[object Object],"Private School, Religious",,,
,,,,
454 (tie),Notre Dame de Namur University (NDNU),"Private School, Religious","$47,900.00","$74,900.00"
[object Object],"Private School, Religious",,,
,,,,
454 (tie),"Sacred Heart University - Fairfield, CT","Private School, Religious, For Sports Fans","$50,500.00","$74,900.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
454 (tie),University of Findlay,"Private School, Religious","$48,800.00","$74,900.00"
[object Object],"Private School, Religious",,,
,,,,
454 (tie),University of Nebraska at Omaha,"State School, For Sports Fans","$42,500.00","$74,900.00"
[object Object],"State School, For Sports Fans",,,
,,,,
454 (tie),University of New Orleans (UNO),"State School, Research University, For Sports Fans","$47,700.00","$74,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
463 (tie),Berklee College of Music,"Private School, Arts, Music & Design School","$38,500.00","$74,800.00"
[object Object],"Private School, Arts, Music & Design School",,,
,,,,
463 (tie),Embry-Riddle Aeronautical University (ERAU) Worldwide,Private School,"$56,500.00","$74,800.00"
[object Object],Private School,,,
,,,,
463 (tie),Florida International University (FIU),"State School, Research University, For Sports Fans","$42,900.00","$74,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
466 (tie),McKendree University,"Private School, Religious","$44,400.00","$74,700.00"
[object Object],"Private School, Religious",,,
,,,,
466 (tie),Midwestern State University (MSU),State School,"$47,400.00","$74,700.00"
[object Object],State School,,,
,,,,
466 (tie),Saint Louis University (SLU),"Private School, Research University, Religious, For Sports Fans","$46,800.00","$74,700.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
466 (tie),University of Colorado at Colorado Springs,State School,"$46,400.00","$74,700.00"
[object Object],State School,,,
,,,,
466 (tie),University of Texas at El Paso (UTEP),"State School, Research University, For Sports Fans","$40,600.00","$74,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
471 (tie),National Louis University,Private School,"$44,100.00","$74,600.00"
[object Object],Private School,,,
,,,,
471 (tie),Old Dominion University,"State School, Research University, For Sports Fans","$45,200.00","$74,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
471 (tie),Xavier University,"Private School, Religious, Sober School, For Sports Fans","$46,100.00","$74,600.00"
[object Object],"Private School, Religious, Sober School, For Sports Fans",,,
,,,,
474 (tie),SUNY - Purchase College,"State School, Liberal Arts School","$43,200.00","$74,500.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
474 (tie),Southwestern Oklahoma State University,State School,"$39,200.00","$74,500.00"
[object Object],State School,,,
,,,,
474 (tie),Texas State University - San Marcos Campus,"State School, For Sports Fans","$45,400.00","$74,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
474 (tie),Towson University,"State School, For Sports Fans","$44,500.00","$74,500.00"
[object Object],"State School, For Sports Fans",,,
,,,,
474 (tie),Western Governors University (WGU),Private School,"$51,600.00","$74,500.00"
[object Object],Private School,,,
,,,,
479 (tie),Linfield College,"Private School, Liberal Arts School, Religious","$44,400.00","$74,400.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
479 (tie),Moravian College and Moravian Theological Seminary,"Private School, Liberal Arts School, Religious","$48,700.00","$74,400.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
479 (tie),"Regis University - Denver, CO","Private School, Religious","$51,800.00","$74,400.00"
[object Object],"Private School, Religious",,,
,,,,
479 (tie),Wichita State University,"State School, Research University, For Sports Fans","$44,000.00","$74,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
483 (tie),Hampton University,"Private School, For Sports Fans","$42,800.00","$74,300.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
483 (tie),Truman State University,State School,"$39,700.00","$74,300.00"
[object Object],State School,,,
,,,,
483 (tie),University of Wisconsin (UW) - La Crosse Campus,State School,"$42,700.00","$74,300.00"
[object Object],State School,,,
,,,,
486 (tie),"Augustana College - Rock Island, IL","Private School, Liberal Arts School, Religious","$39,900.00","$74,200.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
486 (tie),Birmingham Southern College,"Private School, Liberal Arts School, Religious","$40,200.00","$74,200.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
486 (tie),University of Northern Colorado,"State School, For Sports Fans","$41,500.00","$74,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
489 (tie),Albright College,"Private School, Liberal Arts School, Religious","$47,900.00","$74,100.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
489 (tie),Portland State University (PSU),"State School, Research University, For Sports Fans","$45,400.00","$74,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
489 (tie),"St. John Fisher College - Rochester, NY","Private School, Religious","$40,000.00","$74,100.00"
[object Object],"Private School, Religious",,,
,,,,
492 (tie),Calvin College,"Private School, Liberal Arts School, Religious, Sober School","$43,600.00","$74,000.00"
[object Object],"Private School, Liberal Arts School, Religious, Sober School",,,
,,,,
492 (tie),Central Connecticut State University,"State School, For Sports Fans","$48,000.00","$74,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
492 (tie),Kennesaw State University,"State School, For Sports Fans","$43,800.00","$74,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
492 (tie),Muhlenberg College,"Private School, Liberal Arts School, Religious","$48,900.00","$74,000.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
492 (tie),St. Xavier University,"Private School, Religious","$43,400.00","$74,000.00"
[object Object],"Private School, Religious",,,
,,,,
492 (tie),University of Nevada - Reno (UNR),"State School, Research University, For Sports Fans","$47,400.00","$74,000.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
498 (tie),CUNY - Hunter College,State School,"$45,700.00","$73,900.00"
[object Object],State School,,,
,,,,
498 (tie),"Cameron University - Lawton, OK",State School,"$39,800.00","$73,900.00"
[object Object],State School,,,
,,,,
498 (tie),Indiana Institute Of Technology,"Private School, Business School","$43,900.00","$73,900.00"
[object Object],"Private School, Business School",,,
,,,,
498 (tie),Shepherd University,State School,"$41,300.00","$73,900.00"
[object Object],State School,,,
,,,,
498 (tie),University of Mississippi,"State School, Research University, Party School, For Sports Fans","$42,400.00","$73,900.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
498 (tie),University of South Carolina - Main Campus,"State School, Research University, For Sports Fans","$44,900.00","$73,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
504 (tie),Baker University,"Private School, Business School, Religious","$41,100.00","$73,800.00"
[object Object],"Private School, Business School, Religious",,,
,,,,
504 (tie),"Bowling Green State University - Bowling Green, OH","State School, Research University, For Sports Fans","$41,400.00","$73,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
504 (tie),Holy Family University,"Private School, Religious","$40,800.00","$73,800.00"
[object Object],"Private School, Religious",,,
,,,,
507,Oklahoma Wesleyan University (OWU),"Private School, Religious","$41,000.00","$73,700.00"
[object Object],"Private School, Religious",,,
,,,,
508 (tie),California State University - Los Angeles (CSULA),State School,"$42,200.00","$73,600.00"
[object Object],State School,,,
,,,,
508 (tie),University of Louisville,"State School, Research University, For Sports Fans","$44,100.00","$73,600.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
508 (tie),"York College - York, PA",Private School,"$48,800.00","$73,600.00"
[object Object],Private School,,,
,,,,
511,William Paterson University,State School,"$41,200.00","$73,500.00"
[object Object],State School,,,
,,,,
512 (tie),Beloit College,"Private School, Liberal Arts School","$38,200.00","$73,400.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
512 (tie),University of South Dakota,"State School, Research University, For Sports Fans","$40,800.00","$73,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
512 (tie),University of St. Francis,"Private School, Religious","$43,500.00","$73,400.00"
[object Object],"Private School, Religious",,,
,,,,
515,University of Texas at San Antonio (UTSA),"State School, Research University, For Sports Fans","$46,100.00","$73,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
516,University of Louisiana (UL) at Lafayette,"State School, Research University, For Sports Fans","$45,500.00","$73,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
517 (tie),CUNY - John Jay College Criminal Justice,State School,"$38,300.00","$73,100.00"
[object Object],State School,,,
,,,,
517 (tie),California State University - San Marcos (CSUSM),State School,"$45,900.00","$73,100.00"
[object Object],State School,,,
,,,,
517 (tie),Campbell University,"Private School, Religious, For Sports Fans","$42,500.00","$73,100.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
517 (tie),Keene State College,State School,"$45,100.00","$73,100.00"
[object Object],State School,,,
,,,,
517 (tie),Molloy College,"Private School, Religious","$56,100.00","$73,100.00"
[object Object],"Private School, Religious",,,
,,,,
517 (tie),"Mount Saint Mary College - Newburgh, NY","Private School, Religious, For Sports Fans","$50,500.00","$73,100.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
517 (tie),Saint Cloud State University,State School,"$46,000.00","$73,100.00"
[object Object],State School,,,
,,,,
517 (tie),University of New Haven,Private School,"$46,200.00","$73,100.00"
[object Object],Private School,,,
,,,,
517 (tie),University of Tampa,Private School,"$40,700.00","$73,100.00"
[object Object],Private School,,,
,,,,
526 (tie),Ferris State University,State School,"$47,700.00","$73,000.00"
[object Object],State School,,,
,,,,
526 (tie),Grand View University (GVU),"Private School, Religious","$36,700.00","$73,000.00"
[object Object],"Private School, Religious",,,
,,,,
526 (tie),Philadelphia University,Private School,"$45,100.00","$73,000.00"
[object Object],Private School,,,
,,,,
526 (tie),SUNY - College at Old Westbury,"State School, Liberal Arts School","$39,800.00","$73,000.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
526 (tie),Utica College,Private School,"$47,600.00","$73,000.00"
[object Object],Private School,,,
,,,,
526 (tie),William Jewell College,"Private School, Liberal Arts School","$44,400.00","$73,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
532,Franklin Pierce University,Private School,"$40,200.00","$72,900.00"
[object Object],Private School,,,
,,,,
533 (tie),Fitchburg State College,State School,"$39,300.00","$72,800.00"
[object Object],State School,,,
,,,,
533 (tie),University of South Carolina - Upstate Campus,"State School, For Sports Fans","$41,500.00","$72,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
535 (tie),Frostburg State University,State School,"$41,000.00","$72,700.00"
[object Object],State School,,,
,,,,
535 (tie),Gwynedd-Mercy University,"Private School, Religious","$45,600.00","$72,700.00"
[object Object],"Private School, Religious",,,
,,,,
535 (tie),University of La Verne,Private School,"$44,400.00","$72,700.00"
[object Object],Private School,,,
,,,,
538 (tie),Central State University,State School,"$39,700.00","$72,600.00"
[object Object],State School,,,
,,,,
538 (tie),Eastern New Mexico University - Main Campus,State School,"$39,800.00","$72,600.00"
[object Object],State School,,,
,,,,
538 (tie),Elmhurst College,"Private School, Religious","$44,400.00","$72,600.00"
[object Object],"Private School, Religious",,,
,,,,
538 (tie),Lipscomb University,"Private School, Religious, For Sports Fans","$42,000.00","$72,600.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
538 (tie),Shippensburg University of Pennsylvania,State School,"$43,000.00","$72,600.00"
[object Object],State School,,,
,,,,
543 (tie),Indiana University-Purdue University - Indianapolis (IUPUI),"State School, Research University, For Sports Fans","$44,500.00","$72,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
543 (tie),"Marian University - Fond Du Lac, WI","Private School, Religious","$41,100.00","$72,500.00"
[object Object],"Private School, Religious",,,
,,,,
543 (tie),Olivet Nazarene University,"Private School, Religious","$45,300.00","$72,500.00"
[object Object],"Private School, Religious",,,
,,,,
543 (tie),Webster University,Private School,"$39,800.00","$72,500.00"
[object Object],Private School,,,
,,,,
547 (tie),California State University - Bakersfield (CSUB),"State School, For Sports Fans","$41,600.00","$72,400.00"
[object Object],"State School, For Sports Fans",,,
,,,,
547 (tie),Elon University,"Private School, For Sports Fans","$45,900.00","$72,400.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
547 (tie),Indiana State University,"State School, For Sports Fans","$44,400.00","$72,400.00"
[object Object],"State School, For Sports Fans",,,
,,,,
547 (tie),Muskingum University,"Private School, Religious","$35,300.00","$72,400.00"
[object Object],"Private School, Religious",,,
,,,,
547 (tie),Rowan University,State School,"$47,100.00","$72,400.00"
[object Object],State School,,,
,,,,
547 (tie),SUNY - College at Plattsburgh,State School,"$39,000.00","$72,400.00"
[object Object],State School,,,
,,,,
553 (tie),Northeastern Illinois University,State School,"$40,400.00","$72,300.00"
[object Object],State School,,,
,,,,
553 (tie),Texas A&M University - Commerce Campus,State School,"$42,100.00","$72,300.00"
[object Object],State School,,,
,,,,
555 (tie),The Richard Stockton College of New Jersey,State School,"$41,700.00","$72,200.00"
[object Object],State School,,,
,,,,
555 (tie),University of Northern Iowa,"State School, For Sports Fans","$42,900.00","$72,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
555 (tie),West Texas A & M University,State School,"$46,700.00","$72,200.00"
[object Object],State School,,,
,,,,
558 (tie),Baldwin-Wallace College,"Private School, Religious","$41,800.00","$72,100.00"
[object Object],"Private School, Religious",,,
,,,,
558 (tie),Eckerd College,"Private School, Liberal Arts School, Religious","$43,400.00","$72,100.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
558 (tie),Otterbein College,"Private School, Religious","$44,300.00","$72,100.00"
[object Object],"Private School, Religious",,,
,,,,
558 (tie),Radford University,"State School, For Sports Fans","$41,400.00","$72,100.00"
[object Object],"State School, For Sports Fans",,,
,,,,
562 (tie),Clarion University of Pennsylvania,State School,"$37,300.00","$72,000.00"
[object Object],State School,,,
,,,,
562 (tie),University of Wisconsin (UW) - Stout Campus,State School,"$47,600.00","$72,000.00"
[object Object],State School,,,
,,,,
564 (tie),Indiana University of Pennsylvania (IUP),State School,"$42,000.00","$71,900.00"
[object Object],State School,,,
,,,,
564 (tie),"Loyola University - New Orleans, LA","Private School, Religious","$40,800.00","$71,900.00"
[object Object],"Private School, Religious",,,
,,,,
564 (tie),"Southwestern College - Winfield, KS","Private School, Religious","$42,300.00","$71,900.00"
[object Object],"Private School, Religious",,,
,,,,
564 (tie),Washington & Jefferson College,"Private School, Liberal Arts School","$44,600.00","$71,900.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
568 (tie),College of Mount St. Joseph,"Private School, Religious","$40,200.00","$71,800.00"
[object Object],"Private School, Religious",,,
,,,,
568 (tie),Jacksonville University,"Private School, For Sports Fans","$49,100.00","$71,800.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
568 (tie),SUNY - College at Oneonta,State School,"$42,100.00","$71,800.00"
[object Object],State School,,,
,,,,
568 (tie),Salem State University,State School,"$41,800.00","$71,800.00"
[object Object],State School,,,
,,,,
568 (tie),University of Wisconsin (UWM) - Milwaukee,"State School, Research University, For Sports Fans","$45,600.00","$71,800.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
568 (tie),University of Wisconsin (UWW) - Whitewater,State School,"$43,100.00","$71,800.00"
[object Object],State School,,,
,,,,
568 (tie),Weber State University,"State School, For Sports Fans","$52,000.00","$71,800.00"
[object Object],"State School, For Sports Fans",,,
,,,,
575 (tie),Benedictine University,"Private School, Religious","$45,500.00","$71,600.00"
[object Object],"Private School, Religious",,,
,,,,
575 (tie),Kean University,State School,"$42,400.00","$71,600.00"
[object Object],State School,,,
,,,,
575 (tie),Minnesota State University - Moorhead Campus,State School,"$41,100.00","$71,600.00"
[object Object],State School,,,
,,,,
575 (tie),Simmons College,"Private School, Sober School","$50,200.00","$71,600.00"
[object Object],"Private School, Sober School",,,
,,,,
575 (tie),Xavier University of Louisiana,"Private School, Engineering School, Liberal Arts School, Religious","$35,000.00","$71,600.00"
[object Object],"Private School, Engineering School, Liberal Arts School, Religious",,,
,,,,
575 (tie),Youngstown State University (YSU),"State School, For Sports Fans","$44,300.00","$71,600.00"
[object Object],"State School, For Sports Fans",,,
,,,,
581 (tie),Cleary University,"Private School, Business School","$44,800.00","$71,500.00"
[object Object],"Private School, Business School",,,
,,,,
581 (tie),Edgewood College,"Private School, Religious","$44,000.00","$71,500.00"
[object Object],"Private School, Religious",,,
,,,,
581 (tie),Oklahoma City University,"Private School, Religious","$47,300.00","$71,500.00"
[object Object],"Private School, Religious",,,
,,,,
581 (tie),University of Alabama - Birmingham Campus,"State School, Research University, For Sports Fans","$45,300.00","$71,500.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
585,California University of Pennsylvania (Cal U),State School,"$40,400.00","$71,400.00"
[object Object],State School,,,
,,,,
586 (tie),American International College,Private School,"$52,400.00","$71,300.00"
[object Object],Private School,,,
,,,,
586 (tie),DeSales University,"Private School, Religious","$45,600.00","$71,300.00"
[object Object],"Private School, Religious",,,
,,,,
586 (tie),Messiah College,"Private School, Religious","$46,000.00","$71,300.00"
[object Object],"Private School, Religious",,,
,,,,
586 (tie),North Georgia College and State University,State School,"$39,500.00","$71,300.00"
[object Object],State School,,,
,,,,
590 (tie),Florida Atlantic University (FAU),"State School, Research University, For Sports Fans","$45,100.00","$71,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
590 (tie),Longwood University,"State School, For Sports Fans","$39,700.00","$71,200.00"
[object Object],"State School, For Sports Fans",,,
,,,,
590 (tie),"Robert Morris University (RMU) - Moon Township, PA","Private School, For Sports Fans","$44,600.00","$71,200.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
593 (tie),Ball State University (BSU),"State School, Research University, For Sports Fans","$39,800.00","$71,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
593 (tie),"Emmanuel College - Boston, MA","Private School, Religious","$44,900.00","$71,100.00"
[object Object],"Private School, Religious",,,
,,,,
595 (tie),Dallas Baptist University,"Private School, Religious","$46,200.00","$71,000.00"
[object Object],"Private School, Religious",,,
,,,,
595 (tie),Massachusetts College of Art and Design,"State School, Arts, Music & Design School","$44,200.00","$71,000.00"
[object Object],"State School, Arts, Music & Design School",,,
,,,,
595 (tie),McNeese State University,"State School, For Sports Fans","$44,600.00","$71,000.00"
[object Object],"State School, For Sports Fans",,,
,,,,
595 (tie),Mount Mercy University,"Private School, Religious","$43,400.00","$71,000.00"
[object Object],"Private School, Religious",,,
,,,,
595 (tie),University of Maryland - Baltimore Campus,State School,"$59,000.00","$71,000.00"
[object Object],State School,,,
,,,,
600 (tie),Belmont University,"Private School, Religious, For Sports Fans","$40,800.00","$70,900.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
600 (tie),Brigham Young University (BYU) - Idaho Campus,"Private School, Religious","$49,200.00","$70,900.00"
[object Object],"Private School, Religious",,,
,,,,
600 (tie),Fort Lewis College,"State School, Liberal Arts School","$42,100.00","$70,900.00"
[object Object],"State School, Liberal Arts School",,,
,,,,
600 (tie),Harding University,"Private School, Religious","$42,200.00","$70,900.00"
[object Object],"Private School, Religious",,,
,,,,
600 (tie),University of Montana,"State School, Research University, For Sports Fans","$40,000.00","$70,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
