Rank,CollegeTYpe,College Type,Early Career,Mid Career
55 (tie),University of California - Santa Barbara (UCSB),"State School, Research University, Party School, For Sports Fans","$50,400.00","$101,000.00"
[object Object],"State School, Research University, Party School, For Sports Fans",,,
,,,,
55 (tie),Villanova University,"Private School, Religious, For Sports Fans","$58,600.00","$101,000.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
60 (tie),Massachusetts Maritime Academy,State School,"$58,900.00","$100,000.00"
[object Object],State School,,,
,,,,
60 (tie),New Jersey Institute of Technology (NJIT),"State School, Research University, Engineering School, For Sports Fans","$57,100.00","$100,000.00"
[object Object],"State School, Research University, Engineering School, For Sports Fans",,,
,,,,
60 (tie),New York University (NYU),"Private School, Research University","$55,700.00","$100,000.00"
[object Object],"Private School, Research University",,,
,,,,
60 (tie),University of Southern California (USC),"Private School, Research University, For Sports Fans","$56,100.00","$100,000.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
64,Texas A&M University - Main Campus,"State School, Research University, For Sports Fans","$54,400.00","$99,700.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
65,University of San Francisco (USF),"Private School, Religious, For Sports Fans","$51,100.00","$99,500.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
66,Trinity University,"Private School, Religious","$44,900.00","$99,400.00"
[object Object],"Private School, Religious",,,
,,,,
67 (tie),Boston College,"Private School, Research University, Religious, For Sports Fans","$56,800.00","$98,900.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
67 (tie),University of Michigan - Ann Arbor,"State School, Research University, For Sports Fans","$60,600.00","$98,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
69 (tie),Carleton College,"Private School, Liberal Arts School","$46,900.00","$98,800.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
69 (tie),Wake Forest University,"Private School, Research University, For Sports Fans","$49,300.00","$98,800.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
71,Vanderbilt University,"Private School, Research University, For Sports Fans","$57,900.00","$98,700.00"
[object Object],"Private School, Research University, For Sports Fans",,,
,,,,
72,University of California - Davis (UC Davis),"State School, Research University, For Sports Fans","$51,800.00","$98,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
73,University of California - Los Angeles (UCLA),"State School, Research University, For Sports Fans","$53,100.00","$98,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
74,Westmont College,"Private School, Liberal Arts School","$45,700.00","$98,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
75,San Jose State University (SJSU),"State School, For Sports Fans","$56,800.00","$97,700.00"
[object Object],"State School, For Sports Fans",,,
,,,,
76,University of Virginia (UVA) - Main Campus,"State School, Research University, For Sports Fans","$57,300.00","$97,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
77,"Wheaton College - Wheaton, IL","Private School, Liberal Arts School, Religious, Sober School","$43,300.00","$96,900.00"
[object Object],"Private School, Liberal Arts School, Religious, Sober School",,,
,,,,
78,Wentworth Institute of Technology,Private School,"$56,900.00","$96,800.00"
[object Object],Private School,,,
,,,,
79,University of Texas (UT) - Austin,"State School, Research University, For Sports Fans","$53,400.00","$96,400.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
80 (tie),Bryant University,"Private School, Business School, For Sports Fans","$51,600.00","$96,200.00"
[object Object],"Private School, Business School, For Sports Fans",,,
,,,,
80 (tie),"Hamilton College - Clinton, NY","Private School, Liberal Arts School","$54,600.00","$96,200.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
82,Virginia Polytechnic Institute and State University (Virginia Tech),"State School, Research University, For Sports Fans","$56,500.00","$96,100.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
83,Providence College,"Private School, Religious, For Sports Fans","$50,600.00","$96,000.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
84,"Pace University - New York, NY",Private School,"$51,300.00","$95,800.00"
[object Object],Private School,,,
,,,,
85,American University - Washington D.C.,"Private School, Religious, For Sports Fans","$46,100.00","$95,700.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
86 (tie),"Embry-Riddle Aeronautical University (ERAU) - Prescott, AZ",Private School,"$59,700.00","$95,500.00"
[object Object],Private School,,,
,,,,
86 (tie),Florida Institute of Technology (Florida Tech),"Private School, Engineering School","$56,700.00","$95,500.00"
[object Object],"Private School, Engineering School",,,
,,,,
88 (tie),DePauw University,"Private School, Liberal Arts School, Religious, Party School","$47,900.00","$95,100.00"
[object Object],"Private School, Liberal Arts School, Religious, Party School",,,
,,,,
88 (tie),Fordham University,"Private School, Research University, Religious, For Sports Fans","$50,500.00","$95,100.00"
[object Object],"Private School, Research University, Religious, For Sports Fans",,,
,,,,
88 (tie),"Wesleyan University - Middletown, CT","Private School, Liberal Arts School","$50,000.00","$95,100.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
91,Wittenberg University,"Private School, Liberal Arts School, Religious","$44,500.00","$94,900.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
92,Johns Hopkins University,"Private School, Research University","$61,500.00","$94,600.00"
[object Object],"Private School, Research University",,,
,,,,
93 (tie),Brandeis University,"Private School, Research University","$47,100.00","$94,400.00"
[object Object],"Private School, Research University",,,
,,,,
93 (tie),Ohio Northern University (ONU),"Private School, Religious","$50,700.00","$94,400.00"
[object Object],"Private School, Religious",,,
,,,,
93 (tie),University of Rochester,"Private School, Research University","$55,400.00","$94,400.00"
[object Object],"Private School, Research University",,,
,,,,
96 (tie),Stony Brook University,"State School, Research University, For Sports Fans","$50,100.00","$94,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
96 (tie),University of Colorado - Boulder (CU),"State School, Research University, For Sports Fans","$50,800.00","$94,300.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
98 (tie),Purdue University - Main Campus,"State School, Research University, For Sports Fans","$57,400.00","$94,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
98 (tie),University of Washington (UW) - Main Campus,"State School, Research University, For Sports Fans","$55,100.00","$94,200.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
100,"Embry-Riddle Aeronautical University (ERAU) - Daytona Beach, FL",Private School,"$61,300.00","$94,100.00"
[object Object],Private School,,,
,,,,
101,University of Alabama - Huntsville Campus,"State School, Research University","$55,500.00","$94,000.00"
[object Object],"State School, Research University",,,
,,,,
102,University of California - Irvine (UCI),"State School, Research University, For Sports Fans","$51,900.00","$93,900.00"
[object Object],"State School, Research University, For Sports Fans",,,
,,,,
103,Bentley University,"Private School, Business School","$57,100.00","$93,800.00"
[object Object],"Private School, Business School",,,
,,,,
104,Hofstra University,"Private School, For Sports Fans","$49,000.00","$93,700.00"
[object Object],"Private School, For Sports Fans",,,
,,,,
105,"Saint John's University (SJU) - Collegeville, MN","Private School, Liberal Arts School, Religious","$46,900.00","$93,600.00"
[object Object],"Private School, Liberal Arts School, Religious",,,
,,,,
106,Brigham Young University (BYU),"Private School, Research University, Religious, Sober School, For Sports Fans","$52,300.00","$93,500.00"
